open_time,sigma_mean,sigma_q025,sigma_q975
2019-07-23 00:00:00+00:00,0.032144103,0.020746807,0.047181413
2019-07-24 00:00:00+00:00,0.03115961,0.020133343,0.0459956
2019-07-25 00:00:00+00:00,0.030255767,0.019366473,0.04553318
2019-07-26 00:00:00+00:00,0.029632255,0.018969849,0.04481865
2019-07-27 00:00:00+00:00,0.029229065,0.019003004,0.04292389
2019-07-28 00:00:00+00:00,0.028808584,0.018786991,0.042484492
2019-07-29 00:00:00+00:00,0.02842981,0.018057043,0.042429265
2019-07-30 00:00:00+00:00,0.028444597,0.018222192,0.04255124
2019-07-31 00:00:00+00:00,0.02863239,0.018376075,0.0420041
2019-08-01 00:00:00+00:00,0.028630203,0.018890942,0.041951586
2019-08-02 00:00:00+00:00,0.02853181,0.018660974,0.041207936
2019-08-03 00:00:00+00:00,0.02854992,0.018741783,0.04165445
2019-08-04 00:00:00+00:00,0.02859909,0.018897807,0.041009687
2019-08-05 00:00:00+00:00,0.028593335,0.019035334,0.041339897
2019-08-06 00:00:00+00:00,0.02834322,0.018538624,0.040786073
2019-08-07 00:00:00+00:00,0.0281734,0.018368071,0.041289452
2019-08-08 00:00:00+00:00,0.027892504,0.018271876,0.040789653
2019-08-09 00:00:00+00:00,0.027704634,0.01840927,0.041231398
2019-08-10 00:00:00+00:00,0.027746148,0.018148279,0.04152635
2019-08-11 00:00:00+00:00,0.027416669,0.018123945,0.04018649
2019-08-12 00:00:00+00:00,0.027402764,0.017957397,0.040115573
2019-08-13 00:00:00+00:00,0.027501909,0.01838478,0.040947195
2019-08-14 00:00:00+00:00,0.027259894,0.018259266,0.039517634
2019-08-15 00:00:00+00:00,0.026622226,0.017562699,0.039252028
2019-08-16 00:00:00+00:00,0.025991663,0.01703918,0.0391612
2019-08-17 00:00:00+00:00,0.025640916,0.016884562,0.038345654
2019-08-18 00:00:00+00:00,0.025431605,0.01696469,0.037270468
2019-08-19 00:00:00+00:00,0.02532268,0.016830286,0.037162747
2019-08-20 00:00:00+00:00,0.025036545,0.016141059,0.03659542
2019-08-21 00:00:00+00:00,0.024806598,0.016382247,0.036364138
2019-08-22 00:00:00+00:00,0.024196537,0.016126223,0.0346877
2019-08-23 00:00:00+00:00,0.023898428,0.015883733,0.034727156
2019-08-24 00:00:00+00:00,0.023366276,0.01597694,0.033768464
2019-08-25 00:00:00+00:00,0.022913259,0.015319744,0.033438284
2019-08-26 00:00:00+00:00,0.022491105,0.015288922,0.03278537
2019-08-27 00:00:00+00:00,0.022219267,0.015083275,0.03258753
2019-08-28 00:00:00+00:00,0.0218478,0.014313205,0.03193842
2019-08-29 00:00:00+00:00,0.021286892,0.01436774,0.030888524
2019-08-30 00:00:00+00:00,0.020807983,0.014017758,0.029859288
2019-08-31 00:00:00+00:00,0.020360611,0.013581131,0.029933596
2019-09-01 00:00:00+00:00,0.02000654,0.0133927055,0.029404806
2019-09-02 00:00:00+00:00,0.019787358,0.013055174,0.028807921
2019-09-03 00:00:00+00:00,0.019335527,0.013009475,0.028015219
2019-09-04 00:00:00+00:00,0.01875505,0.012548465,0.027017439
2019-09-05 00:00:00+00:00,0.018285023,0.012191254,0.026572369
2019-09-06 00:00:00+00:00,0.017969832,0.012060216,0.02602159
2019-09-07 00:00:00+00:00,0.01748395,0.011501927,0.02573721
2019-09-08 00:00:00+00:00,0.016962795,0.011124346,0.025072826
2019-09-09 00:00:00+00:00,0.016663248,0.011074903,0.024727678
2019-09-10 00:00:00+00:00,0.016484877,0.010924662,0.023691738
2019-09-11 00:00:00+00:00,0.016254127,0.010495088,0.023795098
2019-09-12 00:00:00+00:00,0.016026575,0.010636628,0.023184244
2019-09-13 00:00:00+00:00,0.015823893,0.010573606,0.023110602
2019-09-14 00:00:00+00:00,0.01564486,0.00997651,0.023094434
2019-09-15 00:00:00+00:00,0.015557372,0.010059877,0.022831986
2019-09-16 00:00:00+00:00,0.0156030115,0.010026247,0.022774097
2019-09-17 00:00:00+00:00,0.015683463,0.010249716,0.022684112
2019-09-18 00:00:00+00:00,0.01584382,0.010411796,0.02314004
2019-09-19 00:00:00+00:00,0.01613751,0.010530914,0.023088466
2019-09-20 00:00:00+00:00,0.016459482,0.010754133,0.024040496
2019-09-21 00:00:00+00:00,0.016998678,0.011246101,0.025277892
2019-09-22 00:00:00+00:00,0.017398823,0.011203284,0.025374332
2019-09-23 00:00:00+00:00,0.018018277,0.011385101,0.026383942
2019-09-24 00:00:00+00:00,0.018396998,0.01179013,0.027029304
2019-09-25 00:00:00+00:00,0.018416913,0.012092728,0.026886301
2019-09-26 00:00:00+00:00,0.018463496,0.012244269,0.026790176
2019-09-27 00:00:00+00:00,0.01832252,0.012007408,0.026483407
2019-09-28 00:00:00+00:00,0.018333534,0.012130454,0.02652488
2019-09-29 00:00:00+00:00,0.018363874,0.012198836,0.02614024
2019-09-30 00:00:00+00:00,0.018397136,0.011964233,0.026313402
2019-10-01 00:00:00+00:00,0.018363567,0.011857933,0.026458481
2019-10-02 00:00:00+00:00,0.018397417,0.0119323945,0.0263533
2019-10-03 00:00:00+00:00,0.018615767,0.0123095745,0.026673878
2019-10-04 00:00:00+00:00,0.01881201,0.012232439,0.027233077
2019-10-05 00:00:00+00:00,0.019040566,0.012311437,0.027388949
2019-10-06 00:00:00+00:00,0.019407248,0.012710153,0.027999353
2019-10-07 00:00:00+00:00,0.019646054,0.012589666,0.027889661
2019-10-08 00:00:00+00:00,0.019756857,0.013013444,0.028936075
2019-10-09 00:00:00+00:00,0.019941973,0.012984483,0.028771201
2019-10-10 00:00:00+00:00,0.019877283,0.0133610945,0.028937971
2019-10-11 00:00:00+00:00,0.019887216,0.0131893875,0.028483728
2019-10-12 00:00:00+00:00,0.019762455,0.012808668,0.028726982
2019-10-13 00:00:00+00:00,0.019840764,0.01303885,0.028830241
2019-10-14 00:00:00+00:00,0.02004054,0.0130106555,0.029393634
2019-10-15 00:00:00+00:00,0.020189,0.0133781,0.029070772
2019-10-16 00:00:00+00:00,0.02046708,0.0136919385,0.029849123
2019-10-17 00:00:00+00:00,0.02068077,0.013903038,0.030464824
2019-10-18 00:00:00+00:00,0.021076042,0.014086762,0.0314324
2019-10-19 00:00:00+00:00,0.021546157,0.014215341,0.03145182
2019-10-20 00:00:00+00:00,0.022097811,0.014870892,0.032142658
2019-10-21 00:00:00+00:00,0.022523303,0.015363551,0.032732066
2019-10-22 00:00:00+00:00,0.02308816,0.015739586,0.03374388
2019-10-23 00:00:00+00:00,0.023586966,0.015892692,0.03384402
2019-10-24 00:00:00+00:00,0.023948573,0.015933212,0.03560414
2019-10-25 00:00:00+00:00,0.024256736,0.01614062,0.035573553
2019-10-26 00:00:00+00:00,0.02417295,0.016151942,0.03547391
2019-10-27 00:00:00+00:00,0.02375598,0.015892327,0.035098504
2019-10-28 00:00:00+00:00,0.023300663,0.015254981,0.034226835
2019-10-29 00:00:00+00:00,0.022612905,0.015492124,0.033130392
2019-10-30 00:00:00+00:00,0.022088137,0.014925151,0.032231484
2019-10-31 00:00:00+00:00,0.02142513,0.014177764,0.03120682
2019-11-01 00:00:00+00:00,0.021135118,0.013999641,0.031119393
2019-11-02 00:00:00+00:00,0.020792926,0.013828983,0.030120205
2019-11-03 00:00:00+00:00,0.020646896,0.01341966,0.03043837
2019-11-04 00:00:00+00:00,0.020546056,0.013064736,0.029946797
2019-11-05 00:00:00+00:00,0.020358294,0.013004067,0.030488491
2019-11-06 00:00:00+00:00,0.020370448,0.013044879,0.030007469
2019-11-07 00:00:00+00:00,0.020564655,0.013326375,0.03052139
2019-11-08 00:00:00+00:00,0.020735255,0.013538468,0.030947251
2019-11-09 00:00:00+00:00,0.020567123,0.013240004,0.030524781
2019-11-10 00:00:00+00:00,0.02058087,0.013305131,0.030472938
2019-11-11 00:00:00+00:00,0.020449003,0.013487278,0.02952774
2019-11-12 00:00:00+00:00,0.020363761,0.013082527,0.029770069
2019-11-13 00:00:00+00:00,0.02025626,0.013066767,0.029572977
2019-11-14 00:00:00+00:00,0.02045153,0.013126961,0.030040372
2019-11-15 00:00:00+00:00,0.020556774,0.013463699,0.030098297
2019-11-16 00:00:00+00:00,0.02073686,0.01362122,0.0307029
2019-11-17 00:00:00+00:00,0.021052383,0.013582249,0.031006746
2019-11-18 00:00:00+00:00,0.021453764,0.01405215,0.030547544
2019-11-19 00:00:00+00:00,0.021711467,0.014236937,0.031106398
2019-11-20 00:00:00+00:00,0.022001795,0.013933434,0.0317482
2019-11-21 00:00:00+00:00,0.022549648,0.014576096,0.032438245
2019-11-22 00:00:00+00:00,0.022725713,0.014904122,0.032929506
2019-11-23 00:00:00+00:00,0.022729827,0.014845167,0.03289633
2019-11-24 00:00:00+00:00,0.02280864,0.014846241,0.03216052
2019-11-25 00:00:00+00:00,0.022586534,0.014647555,0.03178615
2019-11-26 00:00:00+00:00,0.02234148,0.014577344,0.031627256
2019-11-27 00:00:00+00:00,0.022277601,0.014712506,0.031741936
2019-11-28 00:00:00+00:00,0.022025008,0.014816148,0.031462703
2019-11-29 00:00:00+00:00,0.021810642,0.014568303,0.031070234
2019-11-30 00:00:00+00:00,0.021480214,0.014311084,0.0307046
2019-12-01 00:00:00+00:00,0.02099357,0.013986893,0.030356582
2019-12-02 00:00:00+00:00,0.020493006,0.013294844,0.02973011
2019-12-03 00:00:00+00:00,0.020133862,0.013232563,0.029072685
2019-12-04 00:00:00+00:00,0.019864855,0.013290164,0.029738199
2019-12-05 00:00:00+00:00,0.019709976,0.0132013615,0.029623006
2019-12-06 00:00:00+00:00,0.019512383,0.0128391255,0.029992627
2019-12-07 00:00:00+00:00,0.019219693,0.012309131,0.028547717
2019-12-08 00:00:00+00:00,0.019081173,0.012096536,0.028589813
2019-12-09 00:00:00+00:00,0.019092238,0.012220114,0.02828343
2019-12-10 00:00:00+00:00,0.019113202,0.012236808,0.028646005
2019-12-11 00:00:00+00:00,0.018957922,0.012066613,0.027764197
